area_name,parent_area,parent_slug,url,type
上尾駅,上尾・宮原,ageo,/ageo/ageo-station/all/,station
北上尾駅,上尾・宮原,ageo,/ageo/kitaageo-station/all/,station
鴻巣駅,上尾・宮原,ageo,/ageo/konosu-station/all/,station
宮原駅,上尾・宮原,ageo,/ageo/miyahara-station/all/,station
桶川駅,上尾・宮原,ageo,/ageo/okegawa-station/all/,station
吹上駅,上尾・宮原,ageo,/ageo/saitama-fukiage-station/all/,station
赤羽駅,赤羽・王子・板橋,akabane,/akabane/akabane-station/all/,station
蓮根駅,赤羽・王子・板橋,akabane,/akabane/hasune-station/all/,station
十条駅・東十条駅,赤羽・王子・板橋,akabane,/akabane/higashijujo-station/all/,station
板橋駅,赤羽・王子・板橋,akabane,/akabane/itabashi-station/all/,station
板橋本町駅,赤羽・王子・板橋,akabane,/akabane/itabashihoncho-station/all/,station
上中里駅,赤羽・王子・板橋,akabane,/akabane/kaminakazato-station/all/,station
王子駅,赤羽・王子・板橋,akabane,/akabane/oji-station/all/,station
下板橋駅,赤羽・王子・板橋,akabane,/akabane/shimoitabashi-station/all/,station
新板橋駅,赤羽・王子・板橋,akabane,/akabane/shinitabashi-station/all/,station
高島平駅,赤羽・王子・板橋,akabane,/akabane/takashimadaira-station/all/,station
浮間舟渡駅,赤羽・王子・板橋,akabane,/akabane/ukimafunado-station/all/,station
赤坂駅・赤坂見附駅,赤坂,akasaka,/akasaka/akasaka-station/all/,station
溜池山王駅,赤坂,akasaka,/akasaka/tameikesanno-station/all/,station
秋葉原駅・末広町駅,秋葉原,akihabara,/akihabara/akihabara-station/all/,station
浅草橋駅,秋葉原,akihabara,/akihabara/asakusabashi-station/all/,station
厚木駅,本厚木・海老名,atsugi,/atsugi/atsugi-station/all/,station
海老名駅,本厚木・海老名,atsugi,/atsugi/ebina-station/all/,station
本厚木駅,本厚木・海老名,atsugi,/atsugi/honatsugi-station/all/,station
かしわ台駅,本厚木・海老名,atsugi,/atsugi/kashiwadai-station/all/,station
鶴巻温泉駅,本厚木・海老名,atsugi,/atsugi/tsurumakionsen-station/all/,station
千葉駅・栄町駅,千葉,chiba,/chiba/chiba-station/all/,station
千葉中央駅・葭川公園駅,千葉,chiba,/chiba/chibachuo-station/all/,station
東千葉駅,千葉,chiba,/chiba/higashichiba-station/all/,station
本千葉駅・県庁前駅,千葉,chiba,/chiba/honchiba-station/all/,station
稲毛駅,千葉,chiba,/chiba/inage-station/all/,station
幕張駅・幕張本郷駅,千葉,chiba,/chiba/makuhari-station/all/,station
西千葉駅,千葉,chiba,/chiba/nishichiba-station/all/,station
大森台駅,千葉,chiba,/chiba/omoridai-station/all/,station
検見川駅・新検見川駅,千葉,chiba,/chiba/shinkemigawa-station/all/,station
蘇我駅,千葉,chiba,/chiba/soga-station/all/,station
都賀駅,千葉,chiba,/chiba/tsuga-station/all/,station
茅ヶ崎駅,茅ヶ崎・平塚,chigasaki,/chigasaki/chigasaki-station/all/,station
平塚駅,茅ヶ崎・平塚,chigasaki,/chigasaki/hiratsuka-station/all/,station
千歳烏山駅,調布・千歳烏山,chofu,/chofu/chitosekarasuyama-station/all/,station
調布駅,調布・千歳烏山,chofu,/chofu/chofu-station/all/,station
仙川駅,調布・千歳烏山,chofu,/chofu/senkawa-station/all/,station
つつじヶ丘駅,調布・千歳烏山,chofu,/chofu/tsutsujigaoka-station/all/,station
代官山駅,恵比寿・中目黒・代官山,ebisu,/ebisu/daikanyama-station/all/,station
恵比寿駅,恵比寿・中目黒・代官山,ebisu,/ebisu/ebisu-station/all/,station
広尾駅,恵比寿・中目黒・代官山,ebisu,/ebisu/hiroo-station/all/,station
中目黒駅,恵比寿・中目黒・代官山,ebisu,/ebisu/nakameguro-station/all/,station
江坂駅,江坂・豊中,esaka,/esaka/esaka-station/all/,station
分倍河原駅,府中・聖蹟桜ヶ丘,fuchu,/fuchu/bubaigawara-station/all/,station
