area_name,slug,original_name
さいたま,omiya,大宮・さいたま
すすき,sapporo,北海道・札幌（すすき
たまプラーザ,saginuma,鷺沼・たまプラーザ・青葉台
つくば,tsukuba,茨城西南（つくば・土浦）
みずほ台,shiki,志木・みずほ台
一宮,owari,尾張・一宮
三宮,kobe,神戸・三宮
三軒茶屋,sangenjaya,三軒茶屋
三鷹,kichijoji,吉祥寺・三鷹
上尾,ageo,上尾・宮原
上石神井,shakujii,西武新宿線・上石神井
上野,ueno,上野・浅草・御徒町
下北沢,shimokitazawa,小田急線沿線・下北沢
下赤塚,ooyama,東武東上線・大山・下赤塚
下関,yamaguchi,山口・下関
両国,kinshicho,錦糸町・押上・両国
中目黒,ebisu,恵比寿・中目黒・代官山
中部,shizuoka,静岡・中部
中野,nakano,中野・高円寺
久留米,kurume,久留米・筑後
久米川,kumegawa,久米川・秋津
亀戸,kameido,亀戸・小岩
亀有,kameari,北千住・亀有
五反田,gotanda,五反田
京橋,kyobashi,京橋・守口
京王線,hatsudai,京王線・初台・笹塚
京都,kyoto,京都・祇園
今池,shinsakae,新栄町・千種・今池
仙台,sendai,宮城・仙台
代々木,shibuya,渋谷・代々木・原宿
代官山,ebisu,恵比寿・中目黒・代官山
佐世保,nagasaki,長崎・佐世保
佐倉,yachiyo,八千代・四街道・佐倉
佐賀,saga,佐賀・小城
倉敷,okayama,岡山・倉敷
入間,tokorozawa,所沢・入間
八千代,yachiyo,八千代・四街道・佐倉
八尾,higashiosaka,東大阪・八尾
八柱,matsudo,松戸・八柱
八王子,hachioji,八王子・日野
八重洲,tokyo,東京・八重洲
六本木,roppongi,六本木・麻布十番
初台,hatsudai,京王線・初台・笹塚
北九州,kitakyushu,北九州・小倉
北千住,kameari,北千住・亀有
北海道,sapporo,北海道・札幌（すすき
十三,juso,十三・西淀川
千歳烏山,chofu,調布・千歳烏山
千種,shinsakae,新栄町・千種・今池
千葉,chiba,千葉
半田,chita,知多・大府・半田
南大阪,sakai,堺・南大阪
南林間,yamato,大和・南林間
南森町,tenma,天満・南森町
南部,tsu,津・松阪・南部
博多,hakata,博多
原宿,shibuya,渋谷・代々木・原宿
吉祥寺,kichijoji,吉祥寺・三鷹
名古屋,nagoya,名古屋・名駅・納屋橋
名古屋,showa,名古屋・昭和区・天白区
名駅,nagoya,名古屋・名駅・納屋橋
向ヶ丘遊園,noborito,登戸・向ヶ丘遊園
和歌山,wakayama,和歌山
品川,shinagawa,品川・田町・浜松町
四ツ谷,iidabashi,四ツ谷・飯田橋・市ヶ谷
四日市,mie,四日市・鈴鹿
四街道,yachiyo,八千代・四街道・佐倉
国分寺,kokubunji,国分寺・国立
国立,kokubunji,国分寺・国立
土浦,tsukuba,茨城西南（つくば・土浦）
堀田,horita,堀田・新瑞橋
堺,sakai,堺・南大阪
堺筋本町,honmachi,本町・堺筋本町
多治見,mino,美濃・多治見・飛騨
大久保,okubo,大久保・高田馬場
大分,oita,大分
大和,yamato,大和・南林間
大垣,ogaki,大垣・瑞穂
大塚,otsuka,大塚・巣鴨・駒込
大宮,omiya,大宮・さいたま
大山,ooyama,東武東上線・大山・下赤塚
大府,chita,知多・大府・半田
大曽根,kurokawa,黒川・大曽根
大津,shiga,滋賀・大津
大船,ofuna,大船・戸塚
大阪キタ,osakakita,大阪キタ・梅田
大須,tsurumai,大須・鶴舞
天満,tenma,天満・南森町
天白区,showa,名古屋・昭和区・天白区
奈良,nara,奈良・生駒
姫路,himeji,姫路・明石
学芸大学,jiyugaoka,自由が丘・学芸大学
宇都宮,tochigi,栃木・宇都宮
守口,kyobashi,京橋・守口
守山,moriyama,守山・小幡
宮原,ageo,上尾・宮原
宮城,sendai,宮城・仙台
宮崎,miyazaki,宮崎
富士,numazu,沼津・富士
富山,toyama,富山・高岡
富里,narita,成田・富里
小倉,kitakyushu,北九州・小倉
小城,saga,佐賀・小城
小岩,kameido,亀戸・小岩
小幡,moriyama,守山・小幡
小牧,komaki,小牧・春日井
小田井,otai,小田井・比良
小田原,odawara,小田原
小田急相模原,sagamiono,相模大野・小田急相模原
小田急線沿線,shimokitazawa,小田急線沿線・下北沢
尼崎,amagasaki,尼崎・西宮
尾張,owari,尾張・一宮
山口,yamaguchi,山口・下関
山形,yamagata,山形・米沢
山梨,yamanashi,山梨・甲府
岐南,gifu,岐阜・岐南・羽島
岐阜,gifu,岐阜・岐南・羽島
岡山,okayama,岡山・倉敷
岡崎,toyota,西三河・豊田・岡崎
岩手,iwate,岩手・盛岡
島根,shimane,島根・松江
川崎,kawasaki,川崎・鶴見
川越,kawagoe,川越・東松山
巣鴨,otsuka,大塚・巣鴨・駒込
市ヶ谷,iidabashi,四ツ谷・飯田橋・市ヶ谷
市原,ichihara,市原・木更津・房総
市川,ichikawa,市川・本八幡
平塚,chigasaki,茅ヶ崎・平塚
広島,hiroshima,広島・福山
府中,fuchu,府中・聖蹟桜ヶ丘
弘前,aomori,青森・弘前
御徒町,ueno,上野・浅草・御徒町
御茶ノ水,suidobashi,水道橋・御茶ノ水
徳島,tokushima,徳島
心斎橋,shinsaibashi,心斎橋
志木,shiki,志木・みずほ台
恵比寿,ebisu,恵比寿・中目黒・代官山
愛媛,ehime,愛媛・松山
成田,narita,成田・富里
我孫子,kashiwa,柏・我孫子
戸塚,ofuna,大船・戸塚
房総,ichihara,市原・木更津・房総
所沢,tokorozawa,所沢・入間
押上,kinshicho,錦糸町・押上・両国
拝島,haijima,拝島・福生
掛川,hamamatsu,浜松・掛川
新大阪,nishinakajima,西中島・新大阪
新宿,shinjuku,新宿
新栄町,shinsakae,新栄町・千種・今池
新横浜,shinyokohama,新横浜・菊名
新橋,shinbashi,新橋
新潟,niigata,新潟・長岡
新瑞橋,horita,堀田・新瑞橋
日吉,musashikosugi,武蔵小杉・日吉
日暮里,nippori,鶯谷・日暮里
日本橋,nihonbashi,日本橋・茅場町
日本橋,osakaminami,難波・日本橋
日野,hachioji,八王子・日野
明石,himeji,姫路・明石
星ヶ丘,hoshigaoka,星ヶ丘・藤が丘
春日井,komaki,小牧・春日井
春日部,koshigaya,越谷・春日部
昭和区,showa,名古屋・昭和区・天白区
木更津,ichihara,市原・木更津・房総
本八幡,ichikawa,市川・本八幡
本厚木,atsugi,本厚木・海老名
本町,honmachi,本町・堺筋本町
札幌,sapporo,北海道・札幌（すすき
東三河,toyohashi,東三河・豊橋・豊川
東久留米,nishitokyo,西東京・東久留米・清瀬
東京,tokyo,東京・八重洲
東大阪,higashiosaka,東大阪・八尾
東松山,kawagoe,川越・東松山
東武東上線,ooyama,東武東上線・大山・下赤塚
東海通,tokaidori,東海通・高畑
東陽町,monnaka,門前仲町・東陽町
松山,ehime,愛媛・松山
松戸,matsudo,松戸・八柱
松本,nagano,長野・松本
松江,shimane,島根・松江
松阪,tsu,津・松阪・南部
板橋,akabane,赤羽・王子・板橋
柏,kashiwa,柏・我孫子
柴田,kasadera,笠寺・柴田
栃木,tochigi,栃木・宇都宮
栄,sakae,栄
梅田,osakakita,大阪キタ・梅田
横浜,yokohama,横浜・関内
橋本,sagamihara,相模原・橋本
武蔵小山,meguro,目黒・武蔵小山
武蔵小杉,musashikosugi,武蔵小杉・日吉
武蔵浦和,urawa,浦和・武蔵浦和
比良,otai,小田井・比良
水戸,ibaraki,茨城央北（水戸・神栖）
水道橋,suidobashi,水道橋・御茶ノ水
江古田,nerima,西武池袋線・練馬・江古田
江坂,esaka,江坂・豊中
