prefecture_id,prefecture,seo_keyword,search_volume,our_slug,data_source_url,source_type,resolution,parent_group,nearby_areas,salon_count
1,北海道,北海道 メンズエステ,590,sapporo,/sapporo/,parent,unique,北海道・札幌（すすき,旭川|千歳|函館|北見|釧路,73
1,北海道,旭川 メンズエステ,9900,asahikawa,/sapporo/asahikawa-city/all/,city,unique,北海道・札幌（すすき,北海道|千歳|函館|北見|釧路,7
1,北海道,千歳 メンズエステ,2400,chitose,/sapporo/chitose-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|函館|北見|釧路,3
1,北海道,函館 メンズエステ,4400,hakodate,/sapporo/hakodate-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|北見|釧路,2
1,北海道,北見 メンズエステ,2400,kitami,/sapporo/kitami-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|釧路,1
1,北海道,釧路 メンズエステ,2900,kushiro,/sapporo/kushiro-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|北見,1
1,北海道,室蘭 メンズエステ,1000,muroran,/sapporo/muroran-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|北見,1
1,北海道,帯広 メンズエステ,5400,obihiro,/sapporo/obihiro-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|北見,3
1,北海道,札幌 メンズエステ,27100,sapporo,/sapporo/sapporo-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|北見,45
1,北海道,苫小牧 メンズエステ,2400,tomakomai,/sapporo/tomakomai-city/all/,city,unique,北海道・札幌（すすき,北海道|旭川|千歳|函館|北見,2
2,青森県,青森 メンズエステ,3600,aomori,/aomori/,parent_absorbed,absorbed: /aomori/aomori-city/all/,青森・弘前,五所川原|八戸|弘前|十和田,11
2,青森県,五所川原 メンズエステ,90,goshogawara,/aomori/goshogawara-city/all/,city,unique,青森・弘前,青森|八戸|弘前|十和田,1
2,青森県,八戸 メンズエステ,4400,hachinohe,/aomori/hachinohe-city/all/,city,unique,青森・弘前,青森|五所川原|弘前|十和田,5
2,青森県,弘前 メンズエステ,590,hirosaki,/aomori/hirosaki-city/all/,city,unique,青森・弘前,青森|五所川原|八戸|十和田,1
2,青森県,十和田 メンズエステ,90,towada,/aomori/towada-city/all/,city,unique,青森・弘前,青森|五所川原|八戸|弘前,1
3,岩手県,岩手 メンズエステ,1600,iwate,/iwate/,parent,unique,岩手・盛岡,一関|北上|盛岡,17
3,岩手県,一関 メンズエステ,390,ichinoseki,/iwate/ichinoseki-city/all/,city,unique,岩手・盛岡,岩手|北上|盛岡,1
3,岩手県,北上 メンズエステ,1900,kitakami,/iwate/kitakami-city/all/,city,unique,岩手・盛岡,岩手|一関|盛岡,5
3,岩手県,盛岡 メンズエステ,8100,morioka,/iwate/morioka-city/all/,city,unique,岩手・盛岡,岩手|一関|北上,8
4,宮城県,宮城 メンズエステ,720,sendai,/sendai/,parent,unique,宮城・仙台,石巻|名取|大崎|仙台|登米,92
4,宮城県,石巻 メンズエステ,880,ishinomaki,/sendai/ishinomaki-city/all/,city,unique,宮城・仙台,宮城|名取|大崎|仙台|登米,9
4,宮城県,名取 メンズエステ,210,natori,/sendai/natori-city/all/,city,unique,宮城・仙台,宮城|石巻|大崎|仙台|登米,2
4,宮城県,大崎 メンズエステ,480,osaki,/sendai/osaki-city/all/,city_cross_pref,cross_prefecture,宮城・仙台,宮城|石巻|名取|仙台|登米,1
4,宮城県,仙台 メンズエステ,18100,sendai,/sendai/sendai-city/all/,city,unique,宮城・仙台,宮城|石巻|名取|大崎|登米,82
4,宮城県,登米 メンズエステ,0,tome,/sendai/tome-city/all/,city,unique,宮城・仙台,宮城|石巻|名取|大崎|仙台,1
5,秋田県,秋田 メンズエステ,5400,akita,/akita/,parent_absorbed,absorbed: /akita/akita-city/all/,秋田,,9
6,山形県,山形 メンズエステ,2900,yamagata,/yamagata/,parent_absorbed,absorbed: /yamagata/yamagata-city/all/,山形・米沢,,13
7,福島県,福島 メンズエステ,2400,fukushima,/fukushima/,parent_cross_pref,"cross_prefecture, absorbed: /fukushima/fukushima-city/all/",福島・郡山,会津若松|いわき|郡山|白河,45
7,福島県,会津若松 メンズエステ,720,aizuwakamatsu,/fukushima/aizuwakamatsu-city/all/,city,unique,福島・郡山,福島|いわき|郡山|白河,2
7,福島県,いわき メンズエステ,2900,iwaki,/fukushima/iwaki-city/all/,city,unique,福島・郡山,福島|会津若松|郡山|白河,7
7,福島県,郡山 メンズエステ,6600,koriyama,/fukushima/koriyama-city/all/,city,unique,福島・郡山,福島|会津若松|いわき|白河,21
7,福島県,白河 メンズエステ,590,shirakawa,/fukushima/shirakawa-city/all/,city,unique,福島・郡山,福島|会津若松|いわき|郡山,4
8,茨城県,茨城央北 メンズエステ,0,ibaraki,/ibaraki/,parent,unique,茨城央北（水戸・神栖）,日立|ひたちなか|神栖|鹿嶋|水戸,80
8,茨城県,日立 メンズエステ,1300,hitachi,/ibaraki/hitachi-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|ひたちなか|神栖|鹿嶋|水戸,9
8,茨城県,ひたちなか メンズエステ,480,hitachinaka,/ibaraki/hitachinaka-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|日立|神栖|鹿嶋|水戸,1
8,茨城県,神栖 メンズエステ,3600,kamisu,/ibaraki/kamisu-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|日立|ひたちなか|鹿嶋|水戸,21
8,茨城県,鹿嶋 メンズエステ,110,kashima,/ibaraki/kashima-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|日立|ひたちなか|神栖|水戸,9
8,茨城県,水戸 メンズエステ,14800,mito,/ibaraki/mito-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|日立|ひたちなか|神栖|鹿嶋,40
8,茨城県,高萩 メンズエステ,0,takahagi,/ibaraki/takahagi-city/all/,city,unique,茨城央北（水戸・神栖）,茨城央北|日立|ひたちなか|神栖|鹿嶋,1
