prefecture_id,prefecture_name,parent_slug,parent_area_name_on_page
1,北海道,sapporo,北海道・札幌（すすきの）
2,青森県,aomori,青森・弘前
3,岩手県,iwate,岩手・盛岡
4,宮城県,sendai,宮城・仙台
5,秋田県,akita,秋田
6,山形県,yamagata,山形・米沢
7,福島県,fukushima,福島・郡山
8,茨城県,ibaraki,茨城央北（水戸・神栖）
8,茨城県,tsukuba,茨城西南（つくば・土浦）
9,栃木県,tochigi,栃木・宇都宮
10,群馬県,gunma,群馬・高崎
11,埼玉県,omiya,大宮・さいたま
11,埼玉県,urawa,浦和武蔵浦和
11,埼玉県,kawagoe,川越東松山
11,埼玉県,shiki,志木みずほ台
11,埼玉県,souka,草加谷塚
11,埼玉県,kumagaya,熊谷行田
11,埼玉県,ageo,上尾宮原
11,埼玉県,koshigaya,越谷・春日部
11,埼玉県,tokorozawa,所沢入間
11,埼玉県,nishikawaguchi,西川口蕨
12,千葉県,chiba,千葉
12,千葉県,urayasu,浦安・行徳
12,千葉県,funabashi,船橋西船橋
12,千葉県,matsudo,松戸八柱
12,千葉県,ichikawa,市川本八幡
12,千葉県,kashiwa,柏我孫子
12,千葉県,tsudanuma,津田沼・習志野
12,千葉県,yachiyo,八千代・四街道・佐倉
12,千葉県,narita,成田富里
12,千葉県,ichihara,市原・木更津・房総
13,東京都,haijima,
13,東京都,kumegawa,
13,東京都,nishitokyo,
13,東京都,nerima,
13,東京都,ooyama,
13,東京都,akabane,
13,東京都,kameari,
13,東京都,kokubunji,
13,東京都,shakujii,
13,東京都,ikebukuro,
13,東京都,otsuka,
13,東京都,nippori,
13,東京都,ueno,
13,東京都,kinshicho,
13,東京都,kichijoji,
13,東京都,ogikubo,
13,東京都,nakano,
13,東京都,okubo,
13,東京都,iidabashi,
13,東京都,suidobashi,
13,東京都,akihabara,
13,東京都,hachioji,
13,東京都,tachikawa,
13,東京都,hatsudai,
13,東京都,shinjuku,
13,東京都,kanda,
13,東京都,kameido,
13,東京都,fuchu,
13,東京都,chofu,
13,東京都,shimokitazawa,
13,東京都,shibuya,
13,東京都,roppongi,
13,東京都,akasaka,
13,東京都,tokyo,
13,東京都,nihonbashi,
13,東京都,monnaka,
13,東京都,machida,
13,東京都,sangenjaya,
13,東京都,ebisu,
13,東京都,meguro,
13,東京都,gotanda,
13,東京都,shinagawa,
13,東京都,shinbashi,
13,東京都,ginza,
13,東京都,jiyugaoka,
13,東京都,kamata,
13,東京都,kasai,
14,神奈川県,yokohama,横浜・関内
14,神奈川県,kawasaki,川崎鶴見
14,神奈川県,saginuma,鷺沼・たまプラーザ青葉台
14,神奈川県,noborito,登戸・向ヶ丘遊園
14,神奈川県,shinyokohama,新横浜・菊名
14,神奈川県,fujisawa,藤沢湘南台
14,神奈川県,chigasaki,茅ヶ崎平塚
14,神奈川県,ofuna,大船・戸塚
14,神奈川県,mizonokuchi,溝の口・二子玉川
14,神奈川県,musashikosugi,武蔵小杉・日吉
14,神奈川県,sagamihara,相模原橋本
14,神奈川県,sagamiono,相模大野小田急相模原
14,神奈川県,atsugi,本厚木海老名
14,神奈川県,yamato,大和・南林間
14,神奈川県,odawara,小田原
15,新潟県,niigata,新潟・長岡
16,富山県,toyama,富山・高岡
17,石川県,ishikawa,石川・金沢
18,福井県,fukui,福井・片町
19,山梨県,yamanashi,山梨・甲府
20,長野県,nagano,長野・松本
21,岐阜県,gifu,岐阜・岐南・羽島
21,岐阜県,ogaki,大垣・瑞穂
21,岐阜県,mino,美濃・多治見・飛騨
22,静岡県,shizuoka,静岡・中部
22,静岡県,numazu,沼津・富士
22,静岡県,hamamatsu,浜松・掛川
23,愛知県,nagoya,名古屋・名駅納屋橋
23,愛知県,sakae,栄
23,愛知県,shinsakae,新栄町・千種・今池
23,愛知県,kanayama,金山熱田
23,愛知県,kurokawa,黒川大曽根
23,愛知県,hoshigaoka,星ヶ丘藤が丘
23,愛知県,moriyama,守山小幡
23,愛知県,otai,小田井比良
23,愛知県,tokaidori,東海通高畑
23,愛知県,kasadera,笠寺柴田
23,愛知県,horita,堀田新瑞橋
23,愛知県,tsurumai,大須鶴舞
23,愛知県,showa,名古屋昭和区天白区
