prefecture,area_name,me_id,url
東京都,渋谷,6,area.php?id=6
東京都,代々木・原宿,7,area.php?id=7
東京都,恵比寿,5,area.php?id=5
東京都,代官山,20,area.php?id=20
東京都,目黒,4,area.php?id=4
東京都,中目黒,3,area.php?id=3
東京都,新宿,8,area.php?id=8
東京都,大久保・新大久保,34,area.php?id=34
東京都,高田馬場,11,area.php?id=11
東京都,池袋,15,area.php?id=15
東京都,大塚・巣鴨,37,area.php?id=37
東京都,赤羽,30,area.php?id=30
東京都,三軒茶屋,21,area.php?id=21
東京都,自由が丘,33,area.php?id=33
東京都,初台・笹塚・明大前,17,area.php?id=17
東京都,幡ヶ谷,22,area.php?id=22
東京都,下北沢,43,area.php?id=43
東京都,五反田,1,area.php?id=1
東京都,品川,2,area.php?id=2
東京都,蒲田・大井町,24,area.php?id=24
東京都,田町・浜松町,26,area.php?id=26
東京都,麻布十番,16,area.php?id=16
東京都,六本木・西麻布,19,area.php?id=19
東京都,赤坂,14,area.php?id=14
東京都,新橋・銀座,18,area.php?id=18
東京都,日本橋・東京駅,25,area.php?id=25
東京都,神田,12,area.php?id=12
東京都,秋葉原,9,area.php?id=9
東京都,飯田橋・市ヶ谷・神楽坂,10,area.php?id=10
東京都,茅場町・人形町・小伝馬町,35,area.php?id=35
東京都,上野,13,area.php?id=13
東京都,北千住,29,area.php?id=29
東京都,西日暮里・鶯谷,31,area.php?id=31
東京都,錦糸町,27,area.php?id=27
東京都,小岩・新小岩,115,area.php?id=115
東京都,中野,54,area.php?id=54
東京都,荻窪・西荻窪,23,area.php?id=23
東京都,練馬・大泉学園,38,area.php?id=38
東京都,吉祥寺,36,area.php?id=36
東京都,調布・登戸,40,area.php?id=40
東京都,立川,42,area.php?id=42
東京都,八王子,167,area.php?id=167
東京都,23区内,142,area.php?id=142
東京都,23区外,143,area.php?id=143
神奈川県,横浜,39,area.php?id=39
神奈川県,新横浜・菊名,102,area.php?id=102
神奈川県,川崎,45,area.php?id=45
神奈川県,関内,44,area.php?id=44
神奈川県,武蔵小杉,32,area.php?id=32
神奈川県,町田,41,area.php?id=41
神奈川県,湘南・平塚・藤沢,55,area.php?id=55
神奈川県,溝の口,56,area.php?id=56
神奈川県,厚木・海老名,57,area.php?id=57
神奈川県,大船・戸塚,103,area.php?id=103
神奈川県,中央林間・大和,160,area.php?id=160
埼玉県,大宮・さいたま,51,area.php?id=51
埼玉県,浦和・武蔵浦和,53,area.php?id=53
埼玉県,川口・蕨,52,area.php?id=52
埼玉県,川越,144,area.php?id=144
埼玉県,所沢,108,area.php?id=108
埼玉県,越谷・春日部,146,area.php?id=146
埼玉県,上尾・桶川,153,area.php?id=153
埼玉県,志木・みずほ台,159,area.php?id=159
千葉県,千葉,46,area.php?id=46
千葉県,松戸,47,area.php?id=47
千葉県,船橋・西船橋,48,area.php?id=48
千葉県,柏,49,area.php?id=49
千葉県,津田沼,50,area.php?id=50
千葉県,葛西・西葛西・行徳・浦安,28,area.php?id=28
千葉県,市川・本八幡,145,area.php?id=145
栃木県,宇都宮・日光・佐野,105,area.php?id=105
茨城県,水戸,118,area.php?id=118
茨城県,つくば・土浦,154,area.php?id=154
群馬県,高崎・前橋,109,area.php?id=109
大阪府,梅田,70,area.php?id=70
大阪府,堺筋本町・本町,71,area.php?id=71
大阪府,難波,72,area.php?id=72
大阪府,堺,81,area.php?id=81
大阪府,日本橋,73,area.php?id=73
大阪府,心斎橋,74,area.php?id=74
大阪府,南船場,75,area.php?id=75
大阪府,松屋町・長堀橋,76,area.php?id=76
大阪府,天満・南森町,77,area.php?id=77
大阪府,谷町,78,area.php?id=78
大阪府,京橋,79,area.php?id=79
大阪府,新大阪,80,area.php?id=80
大阪府,北新地,111,area.php?id=111
大阪府,高槻・茨木・摂津,150,area.php?id=150
大阪府,吹田・豊中,151,area.php?id=151
大阪府,守口・枚方・門真,152,area.php?id=152
大阪府,東大阪・八尾,158,area.php?id=158
京都府,京都駅,98,area.php?id=98
京都府,四条烏丸・烏丸御池,99,area.php?id=99
京都府,河原町・祇園,100,area.php?id=100
京都府,二条・大宮・西院,101,area.php?id=101
兵庫県,芦屋市・西宮市,104,area.php?id=104
兵庫県,三宮,107,area.php?id=107
兵庫県,姫路・加古川・明石,114,area.php?id=114
奈良県,奈良,125,area.php?id=125
和歌山県,和歌山,126,area.php?id=126
滋賀県,大津,124,area.php?id=124
愛知県,名古屋・名駅・納屋橋,58,area.php?id=58
愛知県,栄,59,area.php?id=59
愛知県,新栄町・千種・今池,60,area.php?id=60
愛知県,丸の内・高岳・泉・久屋大通,147,area.php?id=147
愛知県,金山・熱田,61,area.php?id=61
愛知県,鶴舞・御器所,62,area.php?id=62
愛知県,小牧・春日井,63,area.php?id=63
愛知県,尾張・一宮,64,area.php?id=64
愛知県,西三河・豊田・岡崎,65,area.php?id=65
愛知県,安城・三河安城・刈谷,116,area.php?id=116
静岡県,静岡・沼津・富士,66,area.php?id=66
静岡県,浜松・掛川,67,area.php?id=67
三重県,四日市,68,area.php?id=68
岐阜県,岐阜市・大垣・岐南,69,area.php?id=69
山梨県,山梨・甲府・国母,162,area.php?id=162
新潟県,長岡,117,area.php?id=117
長野県,松本,123,area.php?id=123
石川県,金沢,91,area.php?id=91
富山県,高岡,122,area.php?id=122
福井県,片町,121,area.php?id=121
広島県,広島・呉,112,area.php?id=112
広島県,福山,113,area.php?id=113
山口県,山口・下関,128,area.php?id=128
山口県,湯田,139,area.php?id=139
山口県,周南,140,area.php?id=140
香川県,香川・高松,131,area.php?id=131
香川県,丸亀・善通寺,141,area.php?id=141
徳島県,徳島,129,area.php?id=129
高知県,高知,130,area.php?id=130
愛媛県,愛媛・松山,132,area.php?id=132
岡山県,岡山・倉敷,127,area.php?id=127
岩手県,盛岡,149,area.php?id=149
宮城県,仙台,106,area.php?id=106
山形県,米沢,119,area.php?id=119
福島県,郡山,120,area.php?id=120
青森県,弘前,161,area.php?id=161
福岡県,福岡・博多,82,area.php?id=82
福岡県,天神・中州川端,83,area.php?id=83
福岡県,北九州,84,area.php?id=84
福岡県,久留米・筑後・八女,85,area.php?id=85
福岡県,薬院・平尾,134,area.php?id=134
福岡県,雑餉隈・南福岡,135,area.php?id=135
熊本県,熊本・辛島町,89,area.php?id=89
熊本県,水前寺,136,area.php?id=136
宮崎県,宮崎・延岡,137,area.php?id=137
長崎県,長崎・佐世保,138,area.php?id=138
佐賀県,佐賀・鳥栖,86,area.php?id=86
大分県,大分・別府・中津,87,area.php?id=87
鹿児島県,鹿児島,88,area.php?id=88
沖縄県,那覇市・宮古島,110,area.php?id=110
北海道,札幌・すすきの・大通り,90,area.php?id=90
北海道,琴似,92,area.php?id=92
北海道,北区,93,area.php?id=93
北海道,東区,94,area.php?id=94
北海道,旭川,95,area.php?id=95
北海道,白石・厚別,96,area.php?id=96
北海道,函館,97,area.php?id=97
北海道,豊平,133,area.php?id=133
北海道,北見・釧路・帯広,156,area.php?id=156
北海道,北海道その他,155,area.php?id=155
