prefecture,area_name,mg_area_id,url
北海道,札幌,010010,ranking_area.php?area=010010
北海道,旭川,010020,ranking_area.php?area=010020
北海道,函館,010030,ranking_area.php?area=010030
宮城県,仙台,040010,ranking_area.php?area=040010
福島県,福島,070010,ranking_area.php?area=070010
茨城県,水戸,080010,ranking_area.php?area=080010
茨城県,つくば,080020,ranking_area.php?area=080020
栃木県,宇都宮,090010,ranking_area.php?area=090010
栃木県,小山,090020,ranking_area.php?area=090020
群馬県,高崎,100010,ranking_area.php?area=100010
群馬県,前橋,100020,ranking_area.php?area=100020
群馬県,伊勢崎,100030,ranking_area.php?area=100030
群馬県,太田,100040,ranking_area.php?area=100040
東京都,池袋,0100,ranking_area.php?area=0100
東京都,上野,0200,ranking_area.php?area=0200
東京都,秋葉原,0300,ranking_area.php?area=0300
東京都,神田,0350,ranking_area.php?area=0350
東京都,日本橋・人形町・門前仲町,0400,ranking_area.php?area=0400
東京都,銀座,0500,ranking_area.php?area=0500
東京都,新橋,0600,ranking_area.php?area=0600
東京都,高田馬場,0700,ranking_area.php?area=0700
東京都,新宿,0800,ranking_area.php?area=0800
東京都,代々木,0900,ranking_area.php?area=0900
東京都,市ヶ谷・四谷,1000,ranking_area.php?area=1000
東京都,飯田橋,1050,ranking_area.php?area=1050
東京都,赤坂,1100,ranking_area.php?area=1100
東京都,渋谷,1200,ranking_area.php?area=1200
東京都,三軒茶屋,1300,ranking_area.php?area=1300
東京都,恵比寿,1400,ranking_area.php?area=1400
東京都,中目黒,1500,ranking_area.php?area=1500
東京都,麻布十番・六本木,1600,ranking_area.php?area=1600
東京都,五反田,1700,ranking_area.php?area=1700
東京都,品川・大井町,1800,ranking_area.php?area=1800
東京都,蒲田・大森,1850,ranking_area.php?area=1850
東京都,赤羽・板橋,1900,ranking_area.php?area=1900
東京都,北千住,2000,ranking_area.php?area=2000
東京都,錦糸町,2100,ranking_area.php?area=2100
東京都,葛西・浦安,2150,ranking_area.php?area=2150
東京都,中野・高円寺,2200,ranking_area.php?area=2200
東京都,荻窪,2220,ranking_area.php?area=2220
東京都,吉祥寺・三鷹,2250,ranking_area.php?area=2250
東京都,町田,2600,ranking_area.php?area=2600
東京都,練馬,3700,ranking_area.php?area=3700
東京都,笹塚,3800,ranking_area.php?area=3800
東京都,下北沢,3900,ranking_area.php?area=3900
東京都,西東京,4000,ranking_area.php?area=4000
東京都,都内出張・23区出張,9000,ranking_area.php?area=9000
神奈川県,溝の口,2500,ranking_area.php?area=2500
神奈川県,登戸,2520,ranking_area.php?area=2520
神奈川県,あざみ野・センター南,2530,ranking_area.php?area=2530
神奈川県,武蔵小杉,2550,ranking_area.php?area=2550
神奈川県,相模原,2650,ranking_area.php?area=2650
神奈川県,横浜,2700,ranking_area.php?area=2700
神奈川県,関内,2800,ranking_area.php?area=2800
神奈川県,新横浜,2750,ranking_area.php?area=2750
神奈川県,川崎,3300,ranking_area.php?area=3300
神奈川県,藤沢,3400,ranking_area.php?area=3400
神奈川県,戸塚,3450,ranking_area.php?area=3450
神奈川県,厚木,3500,ranking_area.php?area=3500
神奈川県,大和,3550,ranking_area.php?area=3550
千葉県,船橋・西船橋,2900,ranking_area.php?area=2900
千葉県,千葉,3000,ranking_area.php?area=3000
千葉県,松戸,3200,ranking_area.php?area=3200
千葉県,柏,3250,ranking_area.php?area=3250
埼玉県,大宮,3100,ranking_area.php?area=3100
埼玉県,浦和,3120,ranking_area.php?area=3120
埼玉県,川口・蕨,3130,ranking_area.php?area=3130
埼玉県,越谷・春日部・草加,3150,ranking_area.php?area=3150
埼玉県,川越,3600,ranking_area.php?area=3600
埼玉県,所沢,3650,ranking_area.php?area=3650
埼玉県,成増・みずほ台,4100,ranking_area.php?area=4100
埼玉県,熊谷・本庄,4200,ranking_area.php?area=4200
新潟県,新潟,150010,ranking_area.php?area=150010
富山県,富山,160010,ranking_area.php?area=160010
石川県,金沢,170010,ranking_area.php?area=170010
長野県,長野・松本,200010,ranking_area.php?area=200010
岐阜県,岐阜,210010,ranking_area.php?area=210010
静岡県,静岡,220010,ranking_area.php?area=220010
静岡県,浜松,220020,ranking_area.php?area=220020
静岡県,沼津・富士,220030,ranking_area.php?area=220030
愛知県,名古屋（名駅）,230010,ranking_area.php?area=230010
愛知県,丸の内・錦,230020,ranking_area.php?area=230020
愛知県,栄,230030,ranking_area.php?area=230030
愛知県,高岳,230040,ranking_area.php?area=230040
愛知県,新栄,230050,ranking_area.php?area=230050
愛知県,今池,230060,ranking_area.php?area=230060
愛知県,金山,230070,ranking_area.php?area=230070
愛知県,大曽根,230080,ranking_area.php?area=230080
三重県,三重,240010,ranking_area.php?area=240010
京都府,京都,260010,ranking_area.php?area=260010
大阪府,梅田,270010,ranking_area.php?area=270010
大阪府,日本橋・難波,270020,ranking_area.php?area=270020
大阪府,堺筋本町,270030,ranking_area.php?area=270030
大阪府,心斎橋・長堀橋,270040,ranking_area.php?area=270040
大阪府,京橋・南森町,270050,ranking_area.php?area=270050
大阪府,谷町,270060,ranking_area.php?area=270060
大阪府,新大阪,270070,ranking_area.php?area=270070
大阪府,堺東・岸和田,270080,ranking_area.php?area=270080
兵庫県,神戸・三宮,280010,ranking_area.php?area=280010
兵庫県,姫路,280020,ranking_area.php?area=280020
兵庫県,西宮・尼崎,280030,ranking_area.php?area=280030
奈良県,奈良,290010,ranking_area.php?area=290010
和歌山県,和歌山,300010,ranking_area.php?area=300010
岡山県,岡山,330010,ranking_area.php?area=330010
広島県,広島,340010,ranking_area.php?area=340010
香川県,香川,370010,ranking_area.php?area=370010
愛媛県,愛媛,380010,ranking_area.php?area=380010
福岡県,博多,400010,ranking_area.php?area=400010
福岡県,久留米,400020,ranking_area.php?area=400020
福岡県,小倉,400030,ranking_area.php?area=400030
熊本県,熊本,430010,ranking_area.php?area=430010
大分県,大分,440010,ranking_area.php?area=440010
鹿児島県,鹿児島,460010,ranking_area.php?area=460010
沖縄県,沖縄,470010,ranking_area.php?area=470010
