area_name,total_volume,total_traffic,best_position,keyword_count
大宮,29270,18805,1.0,9
池袋,28690,15584,1.0,8
新宿,27830,12413,1.0,7
名古屋,30010,12166,1.0,8
博多,26750,12134,1.0,7
立川,17410,11768,1.0,8
宇都宮,21050,11598,1.0,11
仙台,23880,11366,1.0,8
秋葉原,18480,9471,1.0,7
錦糸町,17890,8302,1.0,7
横浜,25330,8205,1.0,8
新橋,12760,7935,1.0,7
岐阜,17150,7338,1.0,9
東京,19610,7146,2.0,7
京都,18260,7088,1.0,7
蒲田,13890,7013,1.0,7
恵比寿,14080,6974,1.0,6
町田,18650,6934,1.0,8
赤羽,12420,6805,1.0,7
中野,11570,6795,1.0,7
浜松,13340,6767,1.0,7
五反田,12880,6632,1.0,6
渋谷,13760,6505,1.0,8
一宮,11450,6205,1.0,8
大分,16470,6167,1.0,7
船橋,10800,5853,1.0,7
佐賀,19040,5719,1.0,6
千葉,18650,5544,1.0,10
和歌山,9590,5528,1.0,6
北千住,10320,5510,1.0,8
小倉,19200,5502,1.0,9
札幌,15760,5363,1.0,6
上野,11770,5213,1.0,6
高松,8600,5094,1.0,7
銀座,11300,5080,1.0,7
新横浜,10890,5009,1.0,8
水戸,13300,4994,1.0,7
広島,21410,4852,1.0,6
豊橋,6550,4766,1.0,5
沖縄,9440,4652,1.0,6
富山,7150,4583,1.0,4
松戸,7170,4470,1.0,7
久留米,14640,4376,1.0,7
荻窪,6040,4359,1.0,5
小山,6500,4308,1.0,6
溝の口,9290,4292,1.0,6
福岡,27160,4166,1.0,8
熊本,23370,4119,2.0,7
登戸,4790,4114,1.0,5
調布,6880,4091,1.0,6
新潟,9310,4068,1.0,5
梅田,16150,4029,1.0,6
鹿児島,25460,3892,2.0,7
すすきの,10450,3804,1.0,6
相模大野,5550,3733,1.0,5
つくば,7100,3694,1.0,7
西船橋,5240,3687,1.0,4
群馬,7550,3676,1.0,7
川崎,6860,3672,1.0,4
三宮,8710,3672,1.0,6
金山,5650,3608,1.0,7
四日市,7690,3573,1.0,8
関内,8010,3538,1.0,6
所沢,7450,3440,1.0,5
越谷,5850,3386,1.0,6
神戸,8550,3369,1.0,7
葛西,4000,3339,1.0,4
静岡,6600,3332,1.0,6
日暮里,4890,3305,1.0,6
長崎,8740,3197,1.0,6
八王子,8390,3129,1.0,8
新小岩,6490,3122,1.0,6
大井町,6010,3104,1.0,5
麻布十番,5130,3067,1.0,4
那覇,7150,3035,1.0,6
