area_name,site_count,esthe_ranking,me,mens_mg
つくば,3,o,o,o
みずほ台,3,o,o,o
三宮,3,o,o,o
三軒茶屋,3,o,o,o
上野,3,o,o,o
下北沢,3,o,o,o
中目黒,3,o,o,o
中野,3,o,o,o
久留米,3,o,o,o
五反田,3,o,o,o
京橋,3,o,o,o
今池,3,o,o,o
仙台,3,o,o,o
代々木,3,o,o,o
六本木,3,o,o,o
北千住,3,o,o,o
千葉,3,o,o,o
南森町,3,o,o,o
博多,3,o,o,o
吉祥寺,3,o,o,o
名古屋,3,o,o,o
名駅,3,o,o,o
和歌山,3,o,o,o
品川,3,o,o,o
堺筋本町,3,o,o,o
大分,3,o,o,o
大和,3,o,o,o
大宮,3,o,o,o
奈良,3,o,o,o
姫路,3,o,o,o
宇都宮,3,o,o,o
富士,3,o,o,o
岡山,3,o,o,o
川崎,3,o,o,o
川越,3,o,o,o
市ヶ谷,3,o,o,o
広島,3,o,o,o
心斎橋,3,o,o,o
恵比寿,3,o,o,o
愛媛,3,o,o,o
戸塚,3,o,o,o
所沢,3,o,o,o
新大阪,3,o,o,o
新宿,3,o,o,o
新横浜,3,o,o,o
新橋,3,o,o,o
日本橋,3,o,o,o
春日部,3,o,o,o
札幌,3,o,o,o
松戸,3,o,o,o
松本,3,o,o,o
梅田,3,o,o,o
横浜,3,o,o,o
武蔵小杉,3,o,o,o
水戸,3,o,o,o
池袋,3,o,o,o
沼津,3,o,o,o
浜松,3,o,o,o
浦和,3,o,o,o
浦安,3,o,o,o
渋谷,3,o,o,o
熊本,3,o,o,o
町田,3,o,o,o
登戸,3,o,o,o
神田,3,o,o,o
秋葉原,3,o,o,o
笹塚,3,o,o,o
練馬,3,o,o,o
船橋,3,o,o,o
荻窪,3,o,o,o
葛西,3,o,o,o
蒲田,3,o,o,o
藤沢,3,o,o,o
西船橋,3,o,o,o
赤坂,3,o,o,o
赤羽,3,o,o,o
越谷,3,o,o,o
金山,3,o,o,o
金沢,3,o,o,o
銀座,3,o,o,o
錦糸町,3,o,o,o
関内,3,o,o,o
難波,3,o,o,o
静岡,3,o,o,o
飯田橋,3,o,o,o
香川,3,o,o,o
高崎,3,o,o,o
高田馬場,3,o,o,o
鹿児島,3,o,o,o
麻布十番,3,o,o,o
さいたま,2,o,o,
一宮,2,o,o,
三鷹,2,o,,o
上尾,2,o,o,
下関,2,o,o,
丸の内,2,,o,o
京都,2,o,,o
人形町,2,,o,o
代官山,2,o,o,
佐世保,2,o,o,
佐賀,2,o,o,
倉敷,2,o,o,
八尾,2,o,o,
八王子,2,o,o,
函館,2,,o,o
初台,2,o,o,
前橋,2,,o,o
北九州,2,o,o,
千種,2,o,o,
厚木,2,,o,o
原宿,2,o,o,
四日市,2,o,o,
土浦,2,o,o,
大久保,2,o,o,
大井町,2,,o,o
大垣,2,o,o,
大塚,2,o,o,
大曽根,2,o,,o
大津,2,o,o,
大船,2,o,o,
天満,2,o,o,
守口,2,o,o,
宮崎,2,o,o,
富山,2,o,,o
小倉,2,o,,o
小岩,2,o,o,
小牧,2,o,o,
尼崎,2,o,,o
尾張,2,o,o,
山口,2,o,o,
山梨,2,o,o,
岐南,2,o,o,
岐阜,2,o,,o
岡崎,2,o,o,
川口,2,,o,o
巣鴨,2,o,o,
市川,2,o,o,
平塚,2,o,o,
弘前,2,o,o,
徳島,2,o,o,
志木,2,o,o,
掛川,2,o,o,
新栄町,2,o,o,
新潟,2,o,,o
旭川,2,,o,o
明石,2,o,o,
春日井,2,o,o,
本八幡,2,o,o,
本町,2,o,o,
東大阪,2,o,o,
松山,2,o,o,
板橋,2,o,,o
武蔵浦和,2,o,o,
沖縄,2,o,,o
津田沼,2,o,o,
浜松町,2,o,o,
海老名,2,o,o,
溝の口,2,,o,o
熊谷,2,o,,o
熱田,2,o,o,
片町,2,o,o,
田町,2,o,o,
甲府,2,o,o,
盛岡,2,o,o,
目黒,2,o,o,
相模原,2,o,,o
祇園,2,o,o,
神戸,2,o,,o
福山,2,o,o,
福島,2,o,,o
立川,2,o,o,
筑後,2,o,o,
米沢,2,o,o,
納屋橋,2,o,o,
自由が丘,2,o,o,
茅場町,2,o,o,
草加,2,o,,o
菊名,2,o,o,
行徳,2,o,o,
西三河,2,o,o,
西宮,2,o,,o
西東京,2,o,,o
西葛西,2,o,o,
調布,2,o,o,
谷町,2,,o,o
豊中,2,o,o,
豊田,2,o,o,
郡山,2,o,o,
長堀橋,2,,o,o
長岡,2,o,o,
長崎,2,o,o,
長野,2,o,,o
門前仲町,2,o,,o
高円寺,2,o,,o
高岡,2,o,o,
高岳,2,,o,o
高松,2,o,o,
高知,2,o,o,
鶯谷,2,o,o,
鶴舞,2,o,o,
あざみ野,1,,,o
たまプラーザ,1,o,,
センター南,1,,,o
三河安城,1,,o,
三重,1,,,o
上石神井,1,o,,
下赤塚,1,o,,
両国,1,o,,
中央林間,1,,o,
中州川端,1,,o,
中津,1,,o,
中部,1,o,,
丸亀,1,,o,
久屋大通,1,,o,
久米川,1,o,,
亀戸,1,o,,
亀有,1,o,,
二条,1,,o,
京王線,1,o,,
京都駅,1,,o,
伊勢崎,1,,,o
佐倉,1,o,,
佐野,1,,o,
入間,1,o,,
八千代,1,o,,
八女,1,,o,
八柱,1,o,,
八重洲,1,o,,
刈谷,1,,o,
別府,1,,o,
加古川,1,,o,
北区,1,,o,
北新地,1,,o,
北海道,1,o,,
北見,1,,o,
十三,1,o,,
千歳烏山,1,o,,
半田,1,o,,
南大阪,1,o,,
南林間,1,o,,
南福岡,1,,o,
南船場,1,,o,
南部,1,o,,
厚別,1,,o,
向ヶ丘遊園,1,o,,
吹田,1,,o,
周南,1,,o,
善通寺,1,,o,
四ツ谷,1,o,,
四条烏丸,1,,o,
四街道,1,o,,
四谷,1,,,o
国分寺,1,o,,
国母,1,,o,
国立,1,o,,
堀田,1,o,,
堺東,1,,,o
多治見,1,o,,
大山,1,o,,
大府,1,o,,
大森,1,,,o
大泉学園,1,,o,
大通り,1,,o,
大阪キタ,1,o,,
大須,1,o,,
天白区,1,o,,
天神,1,,o,
太田,1,,,o
学芸大学,1,o,,
守山,1,o,,
安城,1,,o,
宮原,1,o,,
宮古島,1,,o,
宮城,1,o,,
富里,1,o,,
小伝馬町,1,,o,
小城,1,o,,
