area_name,prefecture,slug,source_url,type,parent_area,in_me,in_mg,ahrefs_volume,reasons
南部,三重県,tsu-南部,/tsu/,top_level,津・松阪・南部,,,0,top_level_base
四日市,三重県,mie-四日市,/mie/,top_level,四日市・鈴鹿,o,,7690,"top_level_base,in_ME,ahrefs_7690"
松阪,三重県,tsu-松阪,/tsu/,top_level,津・松阪・南部,,,3300,"top_level_base,ahrefs_3300"
鈴鹿,三重県,mie-鈴鹿,/mie/,top_level,四日市・鈴鹿,,,1200,"top_level_base,ahrefs_1200"
三条,京都府,sanjo,/kyoto/sanjo-station/all/,station,京都・祇園,,,700,ahrefs_700
二条,京都府,nijo,/kyoto/nijo-station/all/,station,京都・祇園,o,,200,in_ME
京都,京都府,kyoto-京都,/kyoto/kyoto-station/all/,top_level,京都・祇園,o,o,18260,"top_level_base,in_ME,in_MG,ahrefs_18260"
京都河原町,京都府,kawaramachi,/kyoto/kawaramachi-station/all/,station,京都・祇園,o,o,0,"in_ME,in_MG"
四条,京都府,shijo,/kyoto/shijo-station/all/,station,京都・祇園,o,,0,in_ME
烏丸御池,京都府,karasumaoike,/kyoto/karasumaoike-station/all/,station,京都・祇園,o,,700,"in_ME,ahrefs_700"
祇園,京都府,kyoto-祇園,/kyoto/,top_level,京都・祇園,o,,1550,"top_level_base,in_ME,ahrefs_1550"
祇園四条,京都府,gionshijo,/kyoto/gionshijo-station/all/,station,京都・祇園,o,,0,in_ME
西院,京都府,saiin,/kyoto/saiin-station/all/,station,京都・祇園,o,,0,in_ME
佐賀,佐賀県,saga-佐賀,/saga/,top_level,佐賀・小城,o,,19040,"top_level_base,in_ME,ahrefs_19040"
小城,佐賀県,saga-小城,/saga/,top_level,佐賀・小城,,,0,top_level_base
三宮,兵庫県,kobe-三宮,/kobe/,top_level,神戸・三宮,o,o,8710,"top_level_base,in_ME,in_MG,ahrefs_8710"
姫路,兵庫県,himeji-姫路,/himeji/,top_level,姫路・明石,o,o,21500,"top_level_base,in_ME,in_MG,ahrefs_21500"
尼崎,兵庫県,amagasaki-尼崎,/amagasaki/,top_level,尼崎・西宮,,o,4850,"top_level_base,in_MG,ahrefs_4850"
明石,兵庫県,himeji-明石,/himeji/,top_level,姫路・明石,o,,3400,"top_level_base,in_ME,ahrefs_3400"
神戸,兵庫県,kobe-神戸,/kobe/kobe-station/all/,top_level,神戸・三宮,,o,8550,"top_level_base,in_MG,ahrefs_8550"
西宮,兵庫県,amagasaki-西宮,/amagasaki/,top_level,尼崎・西宮,o,o,3850,"top_level_base,in_ME,in_MG,ahrefs_3850"
すすき,北海道,sapporo-すすき,/sapporo/,top_level,北海道・札幌（すすき,o,,0,"top_level_base,in_ME"
北海道,北海道,sapporo-北海道,/sapporo/,top_level,北海道・札幌（すすき,o,,860,"top_level_base,in_ME,ahrefs_860"
札幌,北海道,sapporo-札幌,/sapporo/,top_level,北海道・札幌（すすき,o,o,15760,"top_level_base,in_ME,in_MG,ahrefs_15760"
佐倉,千葉県,yachiyo-佐倉,/yachiyo/,top_level,八千代・四街道・佐倉,,,450,top_level_base
八千代,千葉県,yachiyo-八千代,/yachiyo/,top_level,八千代・四街道・佐倉,,,200,top_level_base
八柱,千葉県,matsudo-八柱,/matsudo/yabashira-station/all/,top_level,松戸・八柱,,,800,"top_level_base,ahrefs_800"
北松戸,千葉県,kitamatsudo,/matsudo/kitamatsudo-station/all/,station,松戸・八柱,o,o,0,"in_ME,in_MG"
千葉,千葉県,chiba,/chiba/chiba-station/all/,top_level,千葉,o,o,18650,"top_level_base,in_ME,in_MG,ahrefs_18650"
千葉中央,千葉県,chibachuo,/chiba/chibachuo-station/all/,station,千葉,o,o,350,"in_ME,in_MG"
南柏,千葉県,minamikashiwa,/kashiwa/minamikashiwa-station/all/,station,柏・我孫子,,,950,ahrefs_950
南行徳,千葉県,minamigyotoku,/urayasu/minamigyotoku-station/all/,station,浦安・行徳,o,,0,in_ME
四街道,千葉県,yachiyo-四街道,/yachiyo/,top_level,八千代・四街道・佐倉,,,300,top_level_base
