area_name,prefecture,slug,source_url,type,parent_area,in_me,in_mg,ahrefs_volume,reasons,salon_count
南部,三重県,tsu-南部,/tsu/,top_level,津・松阪・南部,,,0,top_level_base,56
四日市,三重県,mie-四日市,/mie/,top_level,四日市・鈴鹿,o,,7690,"top_level_base,in_ME,ahrefs_7690",94
松阪,三重県,tsu-松阪,/tsu/,top_level,津・松阪・南部,,,3300,"top_level_base,ahrefs_3300",56
鈴鹿,三重県,mie-鈴鹿,/mie/,top_level,四日市・鈴鹿,,,1200,"top_level_base,ahrefs_1200",94
三条,京都府,sanjo,/kyoto/sanjo-station/all/,station,京都・祇園,,,700,ahrefs_700,7
二条,京都府,nijo,/kyoto/nijo-station/all/,station,京都・祇園,o,,200,in_ME,13
京都,京都府,kyoto-京都,/kyoto/kyoto-station/all/,top_level,京都・祇園,o,o,18260,"top_level_base,in_ME,in_MG,ahrefs_18260",59
京都河原町,京都府,kawaramachi,/kyoto/kawaramachi-station/all/,station,京都・祇園,o,o,0,"in_ME,in_MG",11
四条,京都府,shijo,/kyoto/shijo-station/all/,station,京都・祇園,o,,0,in_ME,35
烏丸御池,京都府,karasumaoike,/kyoto/karasumaoike-station/all/,station,京都・祇園,o,,700,"in_ME,ahrefs_700",12
祇園,京都府,kyoto-祇園,/kyoto/,top_level,京都・祇園,o,,1550,"top_level_base,in_ME,ahrefs_1550",111
祇園四条,京都府,gionshijo,/kyoto/gionshijo-station/all/,station,京都・祇園,o,,0,in_ME,4
西院,京都府,saiin,/kyoto/saiin-station/all/,station,京都・祇園,o,,0,in_ME,3
佐賀,佐賀県,saga-佐賀,/saga/,top_level,佐賀・小城,o,,19040,"top_level_base,in_ME,ahrefs_19040",19
小城,佐賀県,saga-小城,/saga/,top_level,佐賀・小城,,,0,top_level_base,19
三宮,兵庫県,kobe-三宮,/kobe/,top_level,神戸・三宮,o,o,8710,"top_level_base,in_ME,in_MG,ahrefs_8710",61
姫路,兵庫県,himeji-姫路,/himeji/,top_level,姫路・明石,o,o,21500,"top_level_base,in_ME,in_MG,ahrefs_21500",44
尼崎,兵庫県,amagasaki-尼崎,/amagasaki/,top_level,尼崎・西宮,,o,4850,"top_level_base,in_MG,ahrefs_4850",43
明石,兵庫県,himeji-明石,/himeji/,top_level,姫路・明石,o,,3400,"top_level_base,in_ME,ahrefs_3400",44
神戸,兵庫県,kobe-神戸,/kobe/kobe-station/all/,top_level,神戸・三宮,,o,8550,"top_level_base,in_MG,ahrefs_8550",54
西宮,兵庫県,amagasaki-西宮,/amagasaki/,top_level,尼崎・西宮,o,o,3850,"top_level_base,in_ME,in_MG,ahrefs_3850",43
すすき,北海道,sapporo-すすき,/sapporo/,top_level,北海道・札幌（すすき,o,,0,"top_level_base,in_ME",73
