salon_id,source_id,salon_name,salon_name_kana,salon_type,business_type,access,business_hours,reception_hours,base_price,base_duration,phone,official_url,domain,therapist_count_portal,therapist_count_official,description,service_tags,image_url,source,created_at,updated_at
1,a9d34bfc-aa35-4308-8c73-81d6b3a14eca,Vicca+plus.,ヴィッカプラス,メンエス,店舗,恵比寿駅東口徒歩5分,09:30～翌 05:00,7:30～,16000,70,080-9711-4911,https://viccaplus.net/,viccaplus.net,55,,,"アロマ,リンパ,ホットオイル,ワンルーム,完全個室,キャッシュレス",/uploads/shop-0000001aa0-68fea1bb291d5.jpg,esthe-ranking,2026-02-06 08:50:12,2026-02-06 08:50:12
2,ff62d8af-235a-4b5c-b241-199d4d9461f5,メンズエステ恵比寿・中目黒,,メンエス,店舗,恵比寿駅西口・中目黒駅,10:00～翌 05:00,9:00～翌3:00,19000,90,03-6303-1855,https://mens-este.com/,mens-este.com,128,,,"アロマ,オイル,リンパ,パウダー,ホットオイル,キャッシュレス,領収書",/uploads/shop-0000002327-68aeab2133f6d.jpg,esthe-ranking,2026-02-06 08:50:14,2026-02-06 08:50:14
3,a098186b-5839-49da-a506-56745ef97914,東京目黒 高級セレブ熟女 恵比寿・中目黒・代官山ルーム,,メンエス,店舗,恵比寿駅・中目黒駅・代官山駅,24時間営業,,28000,90,050-5527-2191,http://celebjukujo-meguro.com/,celebjukujo-meguro.com,141,,,"オイル,24時間,熟女,キャッシュレス,ネット予約",/uploads/shop-000000aad6-6981a84d81d96.jpg,esthe-ranking,2026-02-06 08:50:17,2026-02-06 08:50:17
4,92d6bd68-9883-4cac-960b-0e7386c6c762,Belle E,ベルエ,メンエス,店舗,恵比寿駅東口徒歩5分,11:00～翌 05:00,,16000,80,03-6742-3548,https://bellee-spa.com/,bellee-spa.com,64,,,"オイル,リンパ,タイ式,ロミロミ,パウダー,ヘッド,リフレ,足裏,ホイップ,ホットオイル,ストレッチ,ワンルーム,完全個室",/uploads/shop-000000e4f1-693946564d99c.jpg,esthe-ranking,2026-02-06 08:50:19,2026-02-06 08:50:19
5,446a983f-df7b-4b4e-b927-842d7fad8e01,恵比寿・中目黒ミネルバ,,メンエス,店舗,恵比寿駅徒歩3分・中目黒駅徒歩5分,11:00～翌 05:00,,12000,50,070-7465-2000,https://minerva-ebisu.com/,minerva-ebisu.com,52,,,"オイル,リンパ,キャッシュレス,ネット予約",/uploads/shop-000000c4b7-64c0adf95274c.jpg,esthe-ranking,2026-02-06 08:50:22,2026-02-06 08:50:22
6,b1c867b3-3ba7-4423-bbc9-f9299ecd36b0,ELTERAS（エルテラス）恵比寿,エルテラス,メンエス,店舗,恵比寿駅西口徒歩3分,24時間営業,,17000,60,080-3521-1651,https://esthetic-salon-tokyo.com/,esthetic-salon-tokyo.com,195,,,"オイル,リンパ,パウダー,ホイップ,ホットオイル,24時間,キャッシュレス,ネット予約",/uploads/shop-0000013ffa-692d90068db9b.png,esthe-ranking,2026-02-06 08:50:24,2026-02-06 08:50:24
7,3b4c5328-d680-40df-9093-dded5143b648,天界のスパ,,メンエス,店舗,中目黒駅徒歩5分・恵比寿駅徒歩5分,11:00～翌 05:00,,16000,80,070-9046-4376,https://www.tennesu.com/,tennesu.com,130,,,"アロマ,オイル,リンパ,ホットオイル,ワンルーム,完全個室,キャッシュレス,ネット予約",/uploads/shop-0000010278-6890580758d42.jpg,esthe-ranking,2026-02-06 08:50:27,2026-02-06 08:50:27
8,b44e2367-4edf-4fed-8947-da2dcbd10174,SWEET MIST恵比寿・広尾ルーム,スウィートミスト,メンエス,店舗,恵比寿駅・広尾駅,11:00～翌 05:00,,16000,90,050-3627-7030,https://sweet-mist.tokyo/,sweet-mist.tokyo,67,,,"アロマ,オイル,リンパ,パウダー,ホイップ,ワンルーム,完全個室,ネット予約",/uploads/shop-0000005eda-671f190bd6064.jpg,esthe-ranking,2026-02-06 08:50:30,2026-02-06 08:50:30
9,ab45ab94-60ab-443f-b0a6-92bc9f2dca1e,THE HALF（ザ・ハーフ）恵比寿・中目黒,ザ・ハーフ,メンエス,店舗,恵比寿駅,10:00～翌 05:00,9:00〜翌04:00,12000,60,090-3003-4523,https://thehalf-ebisu.com/,thehalf-ebisu.com,109,,,"アロマ,オイル,リンパ,ホットオイル,ワンルーム,完全個室,キャッシュレス,ネット予約",/uploads/shop-0000012e9b-685e2fdc28ab6.jpg,esthe-ranking,2026-02-06 08:50:35,2026-02-06 08:50:35
10,689186ac-f1c7-4fd9-ad85-f9cbd10f08a0,Aroma Blanca,アロマブランカ,メンエス,店舗,中目黒駅徒歩3分,13:00～LAST,12:00～LAST,18000,70,080-7666-2776,https://www.aroma-blanca.com/,aroma-blanca.com,71,,,"アロマ,オイル,リンパ,パウダー,ホイップ,ホットオイル,完全個室,キャッシュレス",/uploads/shop-aromablanca-60fe061f077ac.jpg,esthe-ranking,2026-02-06 08:50:38,2026-02-06 08:50:38
