salon_id,area_id,is_primary,area_rank
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,1,5
6,1,1,6
7,1,1,7
8,1,1,8
9,1,1,9
10,1,1,10
11,1,1,11
12,1,1,12
13,1,1,13
14,1,1,14
15,1,1,15
16,1,1,16
17,1,1,17
18,1,1,18
19,1,1,19
20,1,1,20
21,1,1,21
22,1,1,22
23,1,1,23
24,1,1,24
25,1,1,25
26,1,1,26
27,1,1,27
28,1,1,28
29,1,1,29
30,1,1,30
31,1,1,31
32,1,1,32
33,1,1,33
34,1,1,34
35,1,1,35
36,1,1,36
37,1,1,37
38,1,1,38
39,1,1,39
40,1,1,40
41,1,1,41
42,1,1,42
43,1,1,43
44,1,1,44
45,1,1,45
46,1,1,46
47,1,1,47
48,1,1,48
49,1,1,49
50,1,1,50
51,1,1,51
52,1,1,52
53,1,1,53
54,1,1,54
55,1,1,55
56,1,1,56
57,1,1,57
58,1,1,58
59,1,1,59
60,1,1,60
61,1,1,61
62,1,1,62
63,1,1,63
64,1,1,64
65,1,1,65
66,1,1,66
67,1,1,67
68,1,1,68
69,1,1,69
70,1,1,70
71,1,1,71
72,1,1,72
73,1,1,73
74,2,1,1
75,2,1,2
76,2,1,3
77,2,1,4
78,2,1,5
79,2,1,6
80,2,1,7
81,2,1,8
82,2,1,9
83,2,1,10
84,2,1,11
85,2,1,12
86,2,1,13
87,2,1,14
88,2,1,15
89,2,1,16
90,2,1,17
91,2,1,18
92,2,1,19
93,2,1,20
94,2,1,21
95,2,1,22
96,2,1,23
97,2,1,24
98,2,1,25
99,2,1,26
100,2,1,27
101,2,1,28
102,2,1,29
103,2,1,30
104,2,1,31
105,2,1,32
106,2,1,33
107,2,1,34
108,2,1,35
109,2,1,36
110,2,1,37
111,2,1,38
112,2,1,39
113,2,1,40
114,2,1,41
115,2,1,42
116,2,1,43
117,2,1,44
118,2,1,45
119,2,1,46
120,2,1,47
121,2,1,48
122,2,1,49
123,2,1,50
124,2,1,51
125,2,1,52
126,2,1,53
127,2,1,54
128,2,1,55
129,2,1,56
130,2,1,57
131,2,1,58
132,2,1,59
133,2,1,60
134,2,1,61
135,2,1,62
136,2,1,63
137,2,1,64
138,2,1,65
139,2,1,66
140,2,1,67
141,2,1,68
142,2,1,69
143,2,1,70
144,2,1,71
145,2,1,72
146,2,1,73
147,2,1,74
148,2,1,75
149,2,1,76
150,2,1,77
151,2,1,78
152,2,1,79
153,2,1,80
154,2,1,81
155,2,1,82
156,2,1,83
157,2,1,84
158,2,1,85
159,2,1,86
160,2,1,87
161,2,1,88
162,2,1,89
163,2,1,90
164,2,1,91
165,2,1,92
166,2,1,93
167,2,1,94
168,2,1,95
169,2,1,96
170,2,1,97
171,2,1,98
172,2,1,99
173,2,1,100
174,2,1,101
175,2,1,102
176,2,1,103
177,2,1,104
178,2,1,105
179,2,1,106
180,2,1,107
181,2,1,108
182,2,1,109
183,2,1,110
184,2,1,111
185,2,1,112
186,2,1,113
187,2,1,114
188,2,1,115
189,2,1,116
190,2,1,117
191,2,1,118
192,2,1,119
193,2,1,120
194,2,1,121
195,2,1,122
196,2,1,123
197,2,1,124
198,2,1,125
199,2,1,126
200,2,1,127
201,2,1,128
202,2,1,129
203,2,1,130
204,2,1,131
205,2,1,132
206,2,1,133
207,2,1,134
208,2,1,135
209,2,1,136
210,2,1,137
211,2,1,138
212,2,1,139
213,2,1,140
214,2,1,141
215,2,1,142
216,2,1,143
217,2,1,144
218,2,1,145
219,2,1,146
220,2,1,147
221,2,1,148
222,2,1,149
223,2,1,150
224,2,1,151
225,2,1,152
226,2,1,153
227,2,1,154
228,2,1,155
229,2,1,156
230,2,1,157
231,2,1,158
232,2,1,159
233,2,1,160
234,2,1,161
235,2,1,162
236,2,1,163
237,2,1,164
238,2,1,165
239,2,1,166
240,2,1,167
241,2,1,168
242,2,1,169
243,2,1,170
244,2,1,171
245,3,1,1
246,3,1,2
247,3,1,3
248,3,1,4
249,3,1,5
250,3,1,6
251,3,1,7
252,3,1,8
253,3,1,9
