salon_id,salon_name,salon_name_kana
1,Vicca+plus.,ビッカプラス
2,メンズエステ恵比寿・中目黒,メンズエステ恵比寿・中目黒
3,東京目黒 高級セレブ熟女 恵比寿・中目黒・代官山ルーム,東京目黒 高級セレブ熟女
4,Belle E,ベル
5,恵比寿・中目黒ミネルバ,ミネルバ
6,ELTERAS（エルテラス）恵比寿,エルテラス
7,天界のスパ,天界のスパ
8,SWEET MIST恵比寿・広尾ルーム,スウィートミスト
9,THE HALF（ザ・ハーフ）恵比寿・中目黒,ザ・ハーフ
10,Aroma Blanca,アロマブランカ
11,AQUA（アクア）中目黒・恵比寿店,アクア
12,Organic SPA,オーガニックスパ
13,Aroma Miely,アロマミーリィ
14,リンダスパ恵比寿・中目黒,リンダスパ
15,SAUDADE TOKYO 恵比寿ルーム,サウダージトーキョー
16,POSEIDON（ポセイドン）恵比寿・中目黒・広尾,ポセイドン
17,東京【アロマモア】恵比寿店,アロマモア
18,Aroma Blossom（アロマブラッサム）中目黒・恵比寿店,アロマブラッサム
19,メンエスのお姉さん 恵比寿ルーム,メンエスのお姉さん
20,ANAICHI（あないち）恵比寿 ・中目黒店,アナイチ
21,恵比寿 Carinna,Carinna
22,SPA Real（レアル）中目黒・恵比寿,レアル
23,AromaEmerald～アロマエメラルド～,アロマエメラルド
24,LIORA（リオラ）恵比寿ルーム,リオラ
25,神のエステ,神のエステ
26,大人の隠れ家 恵比寿店,大人の隠れ家
27,NAOMI SPA（ナオミスパ）恵比寿店,ナオミスパ
28,NEW+PLUS（ニュープラス）恵比寿ルーム,ニュープラス
29,MoMo Spa（モモスパ） 恵比寿・中目黒店,モモスパ
30,アロマプリメーラ,アロマプリメーラ
31,AROMANI（アロマーニ）恵比寿,アロマーニ
32,Gran Matom（グランマトム）恵比寿,グランマトム
33,激安の殿堂！奥様ホーテ♡ 恵比寿・代官山ルーム,激安の殿堂！奥様ホーテ
34,lunalatte（ルナラテ）恵比寿ルーム,ルナラテ
35,ブルーダイヤモンド 恵比寿ルーム,ブルーダイヤモンド
36,JDスパ～女子大生エステ～恵比寿・代官山,JDスパ～女子大生エステ～
37,桜満開 リラクゼーション,桜満開リラクゼーション
38,shake spa 中目黒ルーム,シェイクスパ
39,MARVEL 離れ,マーベル
40,ダイヤモンドラヴィエ〜La vie et〜恵比寿ルーム,ダイヤモンドラヴィエ
41,BELLA SPA（ベラスパ）恵比寿Room,ベラスパ
42,Hawaii Spa 恵比寿,ハワイスパ
43,ホワイトティアラ,ホワイトティアラ
44,Tokyo connection,トーキョーコネクション
45,聖人のエステ,聖人のエステ
46,東京セレブ美魔女倶楽部 恵比寿ルーム,東京セレブ美魔女倶楽部
47,CLUBマリア 恵比寿ルーム,CLUBマリア
48,LIEN,リエン
49,恵比寿コマダム倶楽部,コマダム倶楽部
50,ALL+PLUS 恵比寿ROOM,オールプラス
51,MASERATI（マセラティ）恵比寿ルーム・中目黒ルーム,マセラティ
52,銀座セレブ 信子 恵比寿ルーム,銀座セレブ信子
53,恵比寿フラワー,フラワー
54,AromaLys恵比寿,アロマリス
55,Belle lily（ベルリリー）恵比寿ルーム,ベルリリー
56,ラヴィット 恵比寿ルーム,ラヴィット
57,大人のやすらぎSPA 恵比寿,大人のやすらぎスパ
58,DAHLIA（ダリア）恵比寿ルーム,ダリア
59,LUXEセレスティンアロマージュ 恵比寿,リュクスセレスティンアロマージュ
60,激安の殿堂！お姉さまホーテ♡ 恵比寿ルーム,激安の殿堂！お姉さまホーテ
61,AROMA エルメス,アロマエルメス
62,中目黒グレース～GRACE～,中目黒グレース
63,B-QINS（ビークインズ）中目黒店,ビークインズ
64,小悪魔Spa Tokyo 恵比寿ルーム,小悪魔スパ トーキョー
65,TOKYOエステ,トウキョウエステ
66,aroma vicca,アロマ ヴィッカ
67,EMPRESS,エンプレス
68,emoSPA,エモスパ
69,恵比寿フェラーリ,フェラーリ
70,MaroAri TAHHA（マロアリ・タッハ） 中目黒店,マロアリ・タッハ
71,Lino Ebisu,リノエビス
72,Candy Spa（キャンディースパ） 恵比寿,キャンディースパ
73,&LS,&LS
